"","year","FAR","source"
"1",1987,1,"CCSM4"
"2",1988,0.796296296296296,"CCSM4"
"3",1989,0.928571428571429,"CCSM4"
"4",1990,0.4,"CCSM4"
"5",1991,0.593220338983051,"CCSM4"
"6",1992,0.732142857142857,"CCSM4"
"7",1993,0.931818181818182,"CCSM4"
"8",1994,0.8,"CCSM4"
"9",1995,0.882352941176471,"CCSM4"
"10",1996,0.88,"CCSM4"
"11",1997,0.884615384615385,"CCSM4"
"12",1998,0.911111111111111,"CCSM4"
"13",1999,1,"CCSM4"
"14",2000,1,"CCSM4"
"15",2001,1,"CCSM4"
"16",2002,1,"CCSM4"
"17",2003,0.914893617021277,"CCSM4"
"18",2004,1,"CCSM4"
"19",2005,0.921052631578947,"CCSM4"
"20",2006,0.918367346938776,"CCSM4"
"21",2007,0.916666666666667,"CCSM4"
"22",2008,1,"CCSM4"
"23",2009,1,"CCSM4"
"24",2010,0.916666666666667,"CCSM4"
"25",2011,0.91304347826087,"CCSM4"
"26",2012,0.942857142857143,"CCSM4"
"27",2013,0.930232558139535,"CCSM4"
"28",2014,1,"CCSM4"
"29",2015,0.736842105263158,"CCSM4"
"30",2016,0.655172413793103,"CCSM4"
"31",2017,0.923076923076923,"CCSM4"
"32",2018,0.792452830188679,"CCSM4"
"33",2019,0.970588235294118,"CCSM4"
"34",2020,0.925,"CCSM4"
"35",2021,1,"CCSM4"
"36",2022,1,"CCSM4"
"37",2023,0.926829268292683,"CCSM4"
"38",2024,1,"CCSM4"
"39",2025,1,"CCSM4"
"40",2026,1,"CCSM4"
"41",2027,1,"CCSM4"
"42",2028,1,"CCSM4"
"43",2029,0.918918918918919,"CCSM4"
"44",2030,1,"CCSM4"
"45",2031,1,"CCSM4"
"46",2032,1,"CCSM4"
"47",2033,1,"CCSM4"
"48",2034,1,"CCSM4"
"49",2035,1,"CCSM4"
"50",2036,1,"CCSM4"
"51",2037,1,"CCSM4"
"52",2038,1,"CCSM4"
"53",2039,1,"CCSM4"
"54",2040,1,"CCSM4"
"55",2041,1,"CCSM4"
"56",2042,1,"CCSM4"
"57",2043,1,"CCSM4"
"58",2044,1,"CCSM4"
"59",2045,1,"CCSM4"
"60",2046,1,"CCSM4"
"61",1987,0.218181818181818,"GFDL.CM3"
"62",1988,0.541666666666667,"GFDL.CM3"
"63",1989,0.892857142857143,"GFDL.CM3"
"64",1990,0.160714285714286,"GFDL.CM3"
"65",1991,0.411764705882353,"GFDL.CM3"
"66",1992,0.175438596491228,"GFDL.CM3"
"67",1993,0.48,"GFDL.CM3"
"68",1994,0.259259259259259,"GFDL.CM3"
"69",1995,0.152542372881356,"GFDL.CM3"
"70",1996,0.172413793103448,"GFDL.CM3"
"71",1997,0.39622641509434,"GFDL.CM3"
"72",1998,0.568181818181818,"GFDL.CM3"
"73",1999,0.69047619047619,"GFDL.CM3"
"74",2000,0.577777777777778,"GFDL.CM3"
"75",2001,0.133333333333333,"GFDL.CM3"
"76",2002,0.848484848484849,"GFDL.CM3"
"77",2003,1,"GFDL.CM3"
"78",2004,0.82051282051282,"GFDL.CM3"
"79",2005,0.531914893617021,"GFDL.CM3"
"80",2006,0.775,"GFDL.CM3"
"81",2007,0.815789473684211,"GFDL.CM3"
"82",2008,0.916666666666667,"GFDL.CM3"
"83",2009,1,"GFDL.CM3"
"84",2010,0.852941176470588,"GFDL.CM3"
"85",2011,0.833333333333333,"GFDL.CM3"
"86",2012,0.469387755102041,"GFDL.CM3"
"87",2013,0.862068965517241,"GFDL.CM3"
"88",2014,0.423076923076923,"GFDL.CM3"
"89",2015,0.810810810810811,"GFDL.CM3"
