"","year","annual.sst"
"1854",1854,8.45580574767343
"1855",1855,8.79293729895833
"1856",1856,8.37848728484121
"1857",1857,8.56489947164196
"1858",1858,8.27732907835094
"1859",1859,7.54561070635401
"1860",1860,8.25383397902565
"1861",1861,8.13406953386877
"1862",1862,8.34975392105936
"1863",1863,8.53639868895213
"1864",1864,8.52483255219185
"1865",1865,8.45378767142351
"1866",1866,8.28292727641676
"1867",1867,8.49859560837691
"1868",1868,8.49502617120743
"1869",1869,8.67642812756286
"1870",1870,8.39195871147616
"1871",1871,8.60723094145457
"1872",1872,8.21383702686463
"1873",1873,7.88188609206814
"1874",1874,9.16154036782254
"1875",1875,8.10472170237837
"1876",1876,8.72397345715556
"1877",1877,8.82161135851652
"1878",1878,7.9641800255611
"1879",1879,8.6341461696844
"1880",1880,7.91066053441201
"1881",1881,8.08704502281101
"1882",1882,7.73166606994881
"1883",1883,9.06807259341766
"1884",1884,9.7177877145252
"1885",1885,8.07274850209554
"1886",1886,8.28821449478467
"1887",1887,7.48847774150728
"1888",1888,9.72083237013598
"1889",1889,8.63445435515765
"1890",1890,7.27707310962951
"1891",1891,8.42143341385085
"1892",1892,7.75102707332578
"1893",1893,7.68003119750955
"1894",1894,7.37163986728109
"1895",1895,8.08732520574811
"1896",1896,8.2224720250601
"1897",1897,7.69340911918673
"1898",1898,9.16140000470753
"1899",1899,8.23661112442784
"1900",1900,9.02960757174711
"1901",1901,7.45016897581089
"1902",1902,8.36866387382321
"1903",1903,7.3597872969748
"1904",1904,6.89690517180267
"1905",1905,8.21120735694622
"1906",1906,8.22028541976008
"1907",1907,7.32672300283936
"1908",1908,7.11857084501749
"1909",1909,6.79196338680969
"1910",1910,7.06217321856268
"1911",1911,7.59098790637378
"1912",1912,8.50506334366469
"1913",1913,8.19962999053385
"1914",1914,8.04613998703573
"1915",1915,8.75579646058466
"1916",1916,7.21148293833623
"1917",1917,7.79264505224666
"1918",1918,7.64722687348552
"1919",1919,7.6996488917148
"1920",1920,7.9506883220426
"1921",1921,8.13099469261608
"1922",1922,7.92192445301461
"1923",1923,8.44158941473084
"1924",1924,7.97228896652145
"1925",1925,8.02077793355646
"1926",1926,9.40526238940228
"1927",1927,8.42868775334851
"1928",1928,8.14311712808993
"1929",1929,8.76685398063441
"1930",1930,8.54712844031981
"1931",1931,8.49621791229851
"1932",1932,8.10085913059355
"1933",1933,7.98319232703625
"1934",1934,8.77237941136305
"1935",1935,8.57181937119056
"1936",1936,9.81278300079806
"1937",1937,8.94381622884465
"1938",1938,8.39495073858349
"1939",1939,8.21776539601129
"1940",1940,9.26398419306196
"1941",1941,9.89498702548016
"1942",1942,9.40999853268437
"1943",1943,8.22033451000849
"1944",1944,8.88769567766409
"1945",1945,9.02070604042075
"1946",1946,8.30048934310332
"1947",1947,8.13121800381562
"1948",1948,7.95793291720851
"1949",1949,8.0943210474376
"1950",1950,7.6971462231943
"1951",1951,8.42471115239735
"1952",1952,8.39794317298922
"1953",1953,8.52059096337735
"1954",1954,8.68895720202347
"1955",1955,8.23254949608068
"1956",1956,8.42628120177094
"1957",1957,9.33018131502743
"1958",1958,9.44287791608394
"1959",1959,8.99007036288579
"1960",1960,8.63196013576683
"1961",1961,8.92761091870823
"1962",1962,8.93074767274418
"1963",1963,9.30799894839868
"1964",1964,8.36083005146049
"1965",1965,8.08920981281105
"1966",1966,8.17726647614063
"1967",1967,8.62590845597201
"1968",1968,8.48014303562285
"1969",1969,8.02476361051373
"1970",1970,8.42424712441433
"1971",1971,7.4793383712056
"1972",1972,7.7674938762325
"1973",1973,7.78780207894314
"1974",1974,8.35702713707398
"1975",1975,7.63430665039468
"1976",1976,7.93528120408113
"1977",1977,8.7482704170819
"1978",1978,8.56708039874318
"1979",1979,8.98191582882541
"1980",1980,8.55484063118354
"1981",1981,9.05779686946978
"1982",1982,8.15626742545215
"1983",1983,9.16275418421318
"1984",1984,8.98908449109943
"1985",1985,8.31858930574066
"1986",1986,8.9311627848395
"1987",1987,8.77720884413555
"1988",1988,8.43616672699479
"1989",1989,8.77995974853121
"1990",1990,8.68947957370473
"1991",1991,8.60386412650689
"1992",1992,8.79058001918354
"1993",1993,9.19516173279148
"1994",1994,8.90527523797134
"1995",1995,8.59962994853655
"1996",1996,8.5954086520206
"1997",1997,9.36491033469123
"1998",1998,9.03036722027022
"1999",1999,8.02077605087182
"2000",2000,8.48109565315576
"2001",2001,8.31854234550191
"2002",2002,8.90377520281693
"2003",2003,9.23631094995586
"2004",2004,9.23177617240226
"2005",2005,9.51596341804526
"2006",2006,8.57830419896663
"2007",2007,8.16401021644987
"2008",2008,7.86272248214689
"2009",2009,8.25112164979694
"2010",2010,8.72363766651044
"2011",2011,8.38072989418589
"2012",2012,7.98191231112371
"2013",2013,8.96720403227313
"2014",2014,9.95660197666322
"2015",2015,10.0097788531205
"2016",2016,10.0622502599639
"2017",2017,9.02710847470952
"2018",2018,9.62992230708572
"2019",2019,10.145784354758
"2020",2020,9.44938111921837
