year,egg,larval,mean.anom
1980,-0.136997172,-0.254085845,-0.195541508
1981,1.634338721,1.450578178,1.542458449
1982,0.709946307,-0.829145585,-0.059599639
1983,1.650579294,0.952854404,1.301716849
1984,2.447100791,0.86394768,1.655524235
1985,0.149945416,-0.380266579,-0.115160582
1986,0.062569321,-0.567434353,-0.252432516
1987,0.220494965,0.729825507,0.475160236
1988,-0.254981905,0.534575073,0.139796584
1989,-0.8998155,-0.760744334,-0.830279917
1990,-0.937874759,-0.329277484,-0.633576122
1991,-1.230787161,-0.700402153,-0.965594657
1992,-0.384203276,0.292863345,-0.045669965
1993,-0.007309166,0.413686108,0.203188471
1994,-0.817653296,-0.282073576,-0.549863436
1995,0.119674775,-0.328896799,-0.104611012
1996,-0.313115071,0.342903354,0.014894142
1997,-0.134627097,0.268283026,0.066827965
1998,1.557210757,1.452491815,1.504851286
1999,-0.406184972,-1.016035175,-0.711110073
2000,0.176184411,0.353560142,0.264872276
2001,1.333107909,0.793059805,1.063083857
2002,-0.084679249,-0.005666241,-0.045172745
2003,0.339249641,1.470246802,0.904748222
2004,-0.198713435,0.371881507,0.086584036
2005,-0.743231617,0.565407373,-0.088912122
2006,-0.260247525,-0.302878363,-0.281562944
2007,-0.857409326,-1.893449031,-1.375429178
2008,-1.23891588,-1.574958248,-1.406937064
2009,-1.493655899,-1.630850353,-1.562253126
2010,-1.068468887,-0.3584514,-0.713460143
2011,-1.588512557,-0.518842197,-1.053677377
2012,-1.402063892,-1.956551292,-1.679307592
2013,-1.714090518,-0.744457968,-1.229274243
2014,-1.994266382,0.247438821,-0.873413781
2015,-1.34372277,1.410192891,0.033235061
2016,-0.0005667,2.38697301,1.193203155
2017,-1.64880554,0.185405631,-0.731699954
2018,-1.757837468,0.281126311,-0.738355579
2019,0.219911306,1.661834032,0.940872669
2020,-0.353453618,-0.411011993,-0.382232805
