"","year","apr.jun.15","jan.apr.105"
"1980",1980,5.85119282286846,4.41572327790439
"1981",1981,7.09808116018039,5.32045418068217
"1982",1982,5.15516560872398,4.53208878128619
"1983",1983,6.67677695191939,5.15063996491611
"1984",1984,6.56685301227336,5.573587318703
"1985",1985,5.39181624047552,5.45712235062213
"1986",1986,5.3461314260224,4.82013318097152
"1987",1987,6.38858288423517,5.45965191876449
"1988",1988,6.38865936656059,5.31737416585289
"1989",1989,5.69217551902491,3.8365329883717
"1990",1990,6.19556259343656,4.8093692355686
"1991",1991,5.62028966833046,4.5825151231554
"1992",1992,6.31579167872302,5.00877137360752
"1993",1993,6.5427392276717,4.59357661494505
"1994",1994,6.09790257583432,5.00078763608582
"1995",1995,5.88353806483895,4.5366229021991
"1996",1996,6.40723289207178,4.50922602900755
"1997",1997,6.68325647424771,4.50074666341148
"1998",1998,6.90417359905481,5.25293262622977
"1999",1999,5.22545135874809,4.01710295500581
"2000",2000,6.29797054337869,4.32552207664209
"2001",2001,6.53412950303822,5.66083481400103
"2002",2002,6.25452745225697,4.4008007473416
"2003",2003,6.90911028826681,5.63858269585506
"2004",2004,6.38100811993637,4.70453033447268
"2005",2005,6.88094708478012,4.86523448802809
"2006",2006,5.73684458791476,5.10983457212097
"2007",2007,4.93025181146318,3.63577677408856
"2008",2008,4.82213481385033,4.39243808322485
"2009",2009,4.94771502459493,4.73766225179039
"2010",2010,5.62797482337483,4.55725052445025
"2011",2011,5.66872257185573,4.55027132387517
"2012",2012,5.09418282214508,3.18374899405023
"2013",2013,5.3370142053675,4.53132527669273
"2014",2014,6.70136168680076,5.00327086272065
"2015",2015,7.083800817419,5.77356787787546
"2016",2016,8.09793610749423,5.78658079924409
"2017",2017,6.43854128990647,4.90999360261142
"2018",2018,6.44540058654034,5.03106389928749
"2019",2019,7.30428843557101,5.95301971435549
"2020",2020,6.37586647316264,4.49523937084059
